Submission ID,cup_assumptions,spent_assumptions
VZ1OgE,2,90
9dJjjY,2,50
J2kvE4,1,30
rlrM4M,3,50
8dp4Bx,0,10
jB9A4a,2,50
42NVVO,2,70
bl4QRg,3,50
pLPpqq,0,30
42NV6O,3,50
GrBAM2,2,90
LdML4j,1,10
42NVeB,1,30
QABllp,3,90
RzByNJ,1,50
oAVLP1,2,50
kYRBj1,2,50
EPb79q,3,50
aBrqMq,1,30
GrBAVZ,2,10
5dqP7d,1,10
kYRBL6,2,30
DVv6oR,1,30
GrBAGj,2,50
24xG9L,1,10
lNlkGW,2,30
vNx58v,2,30
g5N6BN,0,10
OABMRK,2,70
eBxWVq,2,30
g5N621,1,90
5dqPJM,0,30
7d9ryL,1,30
aBrq7E,1,70
XeBPa4,2,30
kYRBqJ,2,50
24xGGL,1,30
aBrqqq,2,50
VZ1O6v,2,50
jB9AjR,2,10
AlbeM0,2,70
NAB1ZQ,3,50
xdN5GG,2,30
oAVLJX,0,10
lNlkx5,4,30
ZdRrqa,2,50
OABM28,5,30
xdN5by,1,30
ylq5Lp,0,30
0EjR96,1,30
dY2eMA,2,90
jB9A4x,4,30
42NV5B,1,30
oAVLZP,2,50
EPb77X,3,50
pLPpQV,0,10
OABMq7,2,50
PABJJ5,2,30
1r2oQQ,4,70
6dQEoO,2,50
24xG6V,1,30
lNlkkB,2,10
oAVL8e,1,30
rlrMz5,2,50
42NV0k,2,70
MAdpZp,3,70
eBxW4E,5,30
OABMx7,1,30
OABMZR,0,10
GrBAPo,1,30
jB9AKR,5,50
QABl98,0,10
lNlk8B,2,70
NAB1kW,4,90
PABJQ5,1,70
dY2eOz,2,10
LdML8G,0,10
ylq5O0,3,30
9dJjAp,1,50
NAB1GW,2,70
GrBAGo,1,30
7d9rG9,0,30
24xGWV,1,30
5dqPRP,2,70
KMBK9M,1,10
kYRB26,3,30
ZdRrry,0,70
g5N6ld,2,30
DVv6Qj,2,70
MAdpxX,3,150
rlrM9l,2,30
BGbWRN,1,50
BGbWNA,1,30
xdN5Wo,2,50
9dJjb1,3,50
bl4Q1g,1,30
9dJjeG,1,10
J2kvPd,1,30
EPb7oX,2,30
RzByAl,1,70
PABJKd,1,30
42NVZb,1,90
QABlZg,2,50
kYRBBM,0,30
qbE1r2,0,10
vNx55Q,2,30
YZzll5,2,50
QABlQp,3,70
jB9ARE,3,150
EPb7Ro,1,10
RzBy7P,1,30
pLPpjE,1,10
BGbWMA,2,30
zKQ5P8,4,90
24xGqb,2,10
MAdpog,2,30
YZzAPv,2,50
NAB1Kb,3,30
qbE1xk,1,30
PABqjP,1,10
rlrMx5,1,50
oAVj6M,2,30
rlrZ5X,2,50
aBrMNW,1,30
ZdRrpv,1,70
0EjWQP,1,50
24x6Eg,1,30
24x6XM,2,70
5dqAXv,2,50
bl4Jq7,1,50
OABMpA,2,30
qbElGO,0,10
WAp79L,0,30
PABq11,1,30
eBxWdo,5,90
QABlgk,1,30
NABZrp,1,30
8dp4vo,1,10
oAVL4M,1,30
8dplLl,1,10
MAdxD8,0,10
VZ16pN,2,30
jB9VDY,1,70
bl4J97,2,50
zKQ6xZ,0,10
6dQEb5,1,10
0EjWrQ,2,50
ZdRBOV,2,90
MAdxeE,2,30
VZ16p6,2,50
lNlEBX,1,50
dY2eLN,1,50
1r2o1L,2,30
VZ16G6,2,30
zKQ6YM,0,10
BGbRde,3,70
LdMLA2,3,70
42NbKA,1,30
lNlEbV,2,150
pLP2rP,2,30
DVv6rp,2,30
lNlko6,2,30
eBxW1o,2,30
VZ16El,2,30
BGbWPY,1,30
AlbX7o,1,50
oAVLrM,1,30
1r2aW4,2,70
RzB9Kv,3,90
1r2oqO,1,30
42NbKr,2,50
24x6PD,2,50
OABNlM,2,10
8dp47Y,0,30
RzB9WQ,1,150
jB9VZ1,1,90
oAVj2b,3,70
jB9VlQ,4,70
GrBA2z,1,10
9dJKQ5,3,30
aBrMdX,2,30
EPbOWB,2,50
OABNQk,1,90
dY2yEV,1,50
vNx9Yl,2,50
