Submission ID,cup_assumptions,spent_assumptions
MAdp78,1,1.0
pLPpz1,0,1.0
KMBKgX,2,2.3333333333333335
QABlk1,0,0.3333333333333333
PABJ41,1,1.0
QABlO1,1,1.0
RzByjK,2,2.3333333333333335
kYRBrr,3,1.0
PABJGx,2,5.0
vNx5gl,1,1.6666666666666667
eBxWzx,3,2.3333333333333335
WApVZe,0,1.0
Albeae,1,1.0
lNlkMX,2,1.6666666666666667
OABMVa,1,1.0
XeBP2z,1,1.0
eBxWpl,3,1.0
RzBy2K,3,1.6666666666666667
GrBAjZ,3,1.6666666666666667
KMBKaD,4,1.0
ZdRrQV,0,0.3333333333333333
1r2oRg,2,1.0
kYRBkZ,1,1.0
oAVLzb,2,1.0
aBrqzZ,0,0.3333333333333333
rlrMvX,2,1.0
EPb76l,2,1.6666666666666667
24xGDM,1,2.3333333333333335
7d9rPa,1,0.3333333333333333
DVv69R,2,1.6666666666666667
42NVdA,2,1.0
g5N6OP,2,5.0
J2kvZR,2,2.3333333333333335
RzBylj,2,3.0
qbE1zO,2,1.0
jB9AEQ,2,1.6666666666666667
xdN5ov,1,1.0
9dJja5,2,1.0
kYRBQe,2,3.0
24xGVD,2,1.0
VZ1O46,4,1.6666666666666667
PABJee,2,1.0
eBxWYQ,1,0.3333333333333333
qbE1NO,2,1.0
oAVLaP,3,1.0
LdMLgl,2,1.6666666666666667
ylq5zd,3,1.6666666666666667
NAB1EO,1,3.0
7d9rj0,1,1.6666666666666667
ZdRrKB,2,1.0
xdN56d,1,1.0
rlrMg2,3,1.6666666666666667
qbE1pg,1,1.0
pLPpXJ,3,2.3333333333333335
xdN5vk,2,1.0
vNx5a0,5,5.0
LdML6J,1,1.0
6dQEyJ,1,1.0
xdN5L5,2,2.3333333333333335
OABMra,1,1.0
jB9AgQ,1,1.0
EPb7AB,3,3.0
GrBAQO,2,3.0
lNlk9v,2,2.3333333333333335
eBxWox,3,0.3333333333333333
VZ1OyM,1,0.3333333333333333
KMBKNV,1,1.0
OABMyY,2,1.6666666666666667
WApVjR,1,1.0
OABMKR,2,1.0
BGbWVK,2,1.0
XeBPyL,3,3.0
VZ1OBg,1,1.6666666666666667
1r2ox1,0,0.3333333333333333
LdMLVl,1,1.0
oAVLQO,2,1.0
pLPpNJ,0,0.3333333333333333
eBxWPk,2,1.0
VZ1Oxj,0,0.3333333333333333
zKQ54R,2,1.6666666666666667
eBxWyl,1,1.6666666666666667
rlrM1R,1,1.6666666666666667
24xGZD,2,3.0
VZ1Oyy,0,1.0
XeBPdg,1,1.6666666666666667
rlrMRN,2,5.0
6dQEGk,2,1.0
EPb7YB,1,1.0
7d9rEa,2,1.6666666666666667
ylq5Rx,2,1.0
MAdpgk,1,1.0
g5N6vJ,1,1.6666666666666667
0EjRlB,3,1.0
9dJjPQ,2,2.3333333333333335
AlbeND,1,1.0
OABMkM,2,3.0
zKQ5dk,2,0.3333333333333333
7d9rgR,3,1.6666666666666667
vNx5pl,1,1.0
EPb7e4,2,1.6666666666666667
DVv6PZ,2,1.0
MAdpPk,2,1.0
ylq5rg,0,0.3333333333333333
24xG7M,1,2.3333333333333335
bl4Qz6,1,1.0
6dQE9Y,2,1.0
eBxWvQ,2,2.3333333333333335
ZdRrXo,1,1.0
24xGy9,1,1.6666666666666667
xdN57r,1,0.3333333333333333
lNlkXk,2,0.3333333333333333
9dJjyV,2,1.6666666666666667
RzBy19,2,1.6666666666666667
J2kvgK,1,1.0
J2kvbo,2,1.6666666666666667
DVv6ZE,1,1.6666666666666667
XeBPvY,2,0.3333333333333333
ZdRrAo,1,1.0
NAB1O0,3,2.3333333333333335
J2kvBr,2,2.3333333333333335
ylq5px,2,1.0
KMBKRg,2,1.6666666666666667
OABMyg,2,2.3333333333333335
